observation_date,IRLTCT01DEM156N
1960-01-01,6.425000000
1961-01-01,5.875000000
1962-01-01,5.908333333
1963-01-01,6.050000000
1964-01-01,6.233333333
1965-01-01,7.050000000
1966-01-01,8.125000000
1967-01-01,6.958333333
1968-01-01,6.450000000
1969-01-01,6.841666667
1970-01-01,8.316666667
1971-01-01,7.991666667
1972-01-01,7.875000000
1973-01-01,9.308333333
1974-01-01,10.441666667
1975-01-01,8.675000000
1976-01-01,8.033333333
1977-01-01,6.533333333
1978-01-01,6.133333333
1979-01-01,7.566666667
1980-01-01,8.425000000
1981-01-01,10.133333333
1982-01-01,8.908333333
1983-01-01,8.083333333
1984-01-01,7.958333333
1985-01-01,7.041666667
1986-01-01,6.158333333
1987-01-01,6.250000000
1988-01-01,6.491666667
1989-01-01,7.025000000
1990-01-01,8.726458333
1991-01-01,8.445625000
1992-01-01,7.835208333
1993-01-01,6.496458333
1994-01-01,6.884414345
1995-01-01,6.850542817
1996-01-01,6.215378260
1997-01-01,5.640137837
1998-01-01,4.573801224
1999-01-01,4.490609719
2000-01-01,5.263958655
2001-01-01,4.796593249
2002-01-01,4.783579595
2003-01-01,4.071142522
2004-01-01,4.037155656
2005-01-01,3.354017536
2006-01-01,3.764125319
2007-01-01,4.216955004
2008-01-01,3.984768225
2009-01-01,3.222217831
2010-01-01,2.744267379
2011-01-01,2.609184992
2012-01-01,1.495130211
2013-01-01,1.571408006
2014-01-01,1.163472291
2015-01-01,0.495193676
2016-01-01,0.091499192
2017-01-01,0.316336114
2018-01-01,0.396363982
2019-01-01,-0.253634458
2020-01-01,-0.511024006
2021-01-01,-0.373821170
2022-01-01,1.142582985
2023-01-01,2.434598706
