statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,39326,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,81867,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,1630,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,45243,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,43613,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,3.6,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,73,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,43686,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,4360,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,39253,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,36624,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,55.3,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,38723,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,81346,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,1794,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,44882,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,43088,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,4,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,49,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,43137,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,4414,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,38674,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,36464,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,55.2,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,38290,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,80758,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,1930,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,44664,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,42734,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,4.3,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,22,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,42756,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,4466,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,38268,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,36094,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,55.3,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,37877,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,80517,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,2019,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,44380,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,42361,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,4.5,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,17,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,42378,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,4501,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,37860,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,36137,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,55.1,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,37538,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,80385,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,2064,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,44112,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,42048,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,4.7,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,17,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,42065,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,4527,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,37521,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,36273,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,54.9,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,37039,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,80275,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,2230,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,43798,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,41568,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,5.1,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,2,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,41570,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,4531,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,37037,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,36477,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,54.6,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,36581,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,80284,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,2642,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,43731,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,41089,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,6,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,10,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,41099,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,4518,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,36571,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,36553,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,54.5,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,41145,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,82203,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,1250,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,46406,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,45156,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,2.7,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,135,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,45291,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,4146,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,41010,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,35797,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,56.5,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,40649,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,82157,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,1341,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,46098,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,44757,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,2.9,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,121,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,44878,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,4229,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,40528,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,36059,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,56.1,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,39997,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,82038,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,1487,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,45677,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,44190,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,3.3,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,100,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,44290,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,4293,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,39897,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,36361,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,55.7,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,35134,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,81422,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,3366,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,42370,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,39004,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,7.9,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,121,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,39125,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,3991,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,35013,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,39052,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,52,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,34206,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,81466,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,3471,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,41435,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,37964,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,8.4,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,98,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,38062,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,3856,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,34108,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,40031,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,50.9,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,34249,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,81308,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,3205,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,41161,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,37956,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,7.8,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,90,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,38046,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,3797,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,34159,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,40147,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,50.6,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,34537,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,81446,1000,BEV020,Population
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,3682,1000,ERW003,Unemployed persons
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,42071,1000,ERW001,Economically active population
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,38389,1000,ERW060,Persons in employment (national concept)
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,8.8,percent,ERW089,Unemployment rate
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,111,1000,PEN012,Cross-border commuter balance
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,38500,1000,ERW063,Persons in employment (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,3963,1000,ERW030,Self-employed persons
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,34426,1000,ERW036,Employees (national concept)
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,39375,1000,ERW004,Economically inactive population
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,51.7,percent,ERW088,Labour force participation rate
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,34130,1000,ERW061,Employees (domestic concept)
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,81510,1000,BEV020,Population
