"";BBBK10.M.TXI302;BBBK10.M.TXI302_FLAGS
"";Geldmenge M2 / Deutscher Beitrag;
Einheit;EURO;
Dimension;Millionen;
Stand vom;01.04.2026 10:40:44 Uhr;
1980-01;350007;
1980-02;349884;
1980-03;351396;
1980-04;347367;
1980-05;350691;
1980-06;354377;
1980-07;356144;
1980-08;357854;
1980-09;356686;
1980-10;356004;
1980-11;373089;
1980-12;378160;
1981-01;372262;
1981-02;374300;
1981-03;373214;
1981-04;371979;
1981-05;379341;
1981-06;379987;
1981-07;378210;
1981-08;384527;
1981-09;382536;
1981-10;379694;
1981-11;393353;
1981-12;399051;
1982-01;399393;
1982-02;400874;
1982-03;398314;
1982-04;396443;
1982-05;404267;
1982-06;405204;
1982-07;404133;
1982-08;410375;
1982-09;409213;
1982-10;409057;
1982-11;419504;
1982-12;427764;
1983-01;427775;
1983-02;430415;
1983-03;423300;
1983-04;424113;
1983-05;431644;
1983-06;431653;
1983-07;435854;
1983-08;436847;
1983-09;430747;
1983-10;434972;
1983-11;445958;
1983-12;450011;
1984-01;447109;
1984-02;447350;
1984-03;437978;
1984-04;441801;
1984-05;448540;
1984-06;445148;
1984-07;451551;
1984-08;448833;
1984-09;453769;
1984-10;452121;
1984-11;459700;
1984-12;472269;
1985-01;468493;
1985-02;471325;
1985-03;465885;
1985-04;462941;
1985-05;466881;
1985-06;472881;
1985-07;474109;
1985-08;470791;
1985-09;474320;
1985-10;473632;
1985-11;481229;
1985-12;508215;
1986-01;501755;
1986-02;502188;
1986-03;503144;
1986-04;498727;
1986-05;502608;
1986-06;510778;
1986-07;513983;
1986-08;518583;
1986-09;518957;
1986-10;518398;
1986-11;537013;
1986-12;543381;
1987-01;538379;
1987-02;539783;
1987-03;539282;
1987-04;537311;
1987-05;547212;
1987-06;549211;
1987-07;545454;
1987-08;555048;
1987-09;551970;
1987-10;551272;
1987-11;570520;
1987-12;575062;
1988-01;574142;
1988-02;577769;
1988-03;566007;
1988-04;570731;
1988-05;581623;
1988-06;583008;
1988-07;582622;
1988-08;586121;
1988-09;582062;
1988-10;588747;
1988-11;607838;
1988-12;613861;
1989-01;611763;
1989-02;614150;
1989-03;603742;
1989-04;605698;
1989-05;613202;
1989-06;608197;
1989-07;618364;
1989-08;619552;
1989-09;613047;
1989-10;617847;
1989-11;636407;
1989-12;652500;
1990-01;643801;
1990-02;646999;
1990-03;632335;
1990-04;636159;
1990-05;643326;
1990-06;728502;
1990-07;737494;
1990-08;736775;
1990-09;745042;
1990-10;742957;
1990-11;756117;
1990-12;781503;
1991-01;771026;
1991-02;779685;
1991-03;767140;
1991-04;765535;
1991-05;770889;
1991-06;777318;
1991-07;776617;
1991-08;775917;
1991-09;783093;
1991-10;782275;
1991-11;800622;
1991-12;833408;
1992-01;814145;
1992-02;818818;
1992-03;816645;
1992-04;821834;
1992-05;828984;
1992-06;831751;
1992-07;836297;
1992-08;844704;
1992-09;855149;
1992-10;855710;
1992-11;878795;
1992-12;892976;
1993-01;878145;
1993-02;883994;
1993-03;883595;
1993-04;889359;
1993-05;898293;
1993-06;900467;
1993-07;905594;
1993-08;910561;
1993-09;910560;
1993-10;919195;
1993-11;947565;
1993-12;989653;
1994-01;981174;
1994-02;982064;
1994-03;979121;
1994-04;984710;
1994-05;987745;
1994-06;986859;
1994-07;982517;
1994-08;982045;
1994-09;977880;
1994-10;980062;
1994-11;991238;
1994-12;1004002;
1995-01;983817;
1995-02;980928;
1995-03;970111;
1995-04;970255;
1995-05;977161;
1995-06;974197;
1995-07;974716;
1995-08;977780;
1995-09;980017;
1995-10;986716;
1995-11;1009510;
1995-12;1039648;
1996-01;1029218;
1996-02;1037812;
1996-03;1035329;
1996-04;1039619;
1996-05;1043576;
1996-06;1044663;
1996-07;1044427;
1996-08;1050120;
1996-09;1055003;
1996-10;1059506;
1996-11;1078593;
1996-12;1128926;
1997-01;1105294;
1997-02;1107097;
1997-03;1102892;
1997-04;1103736;
1997-05;1111164;
1997-06;1109900;
1997-07;1109593;
1997-08;1112666;
1997-09;1110514;
1997-10;1113904;
1997-11;1135754;
1997-12;1167838;
1998-01;1148858;
1998-02;1154224;
1998-03;1151823;
1998-04;1158292;
1998-05;1161734;
1998-06;1161360;
1998-07;1159115;
1998-08;1170322;
1998-09;1168356;
1998-10;1179770;
1998-11;1207684;
1998-12;1258233;
1999-01;1253280;
1999-02;1256423;
1999-03;1253550;
1999-04;1256799;
1999-05;1270776;
1999-06;1273897;
1999-07;1270509;
1999-08;1269860;
1999-09;1271634;
1999-10;1278838;
1999-11;1304598;
1999-12;1321597;
2000-01;1309164;
2000-02;1309193;
2000-03;1299777;
2000-04;1301210;
2000-05;1293404;
2000-06;1283243;
2000-07;1273751;
2000-08;1266675;
2000-09;1263737;
2000-10;1263024;
2000-11;1285217;
2000-12;1309398;
2001-01;1291650;
2001-02;1302031;
2001-03;1305100;
2001-04;1310942;
2001-05;1315652;
2001-06;1323187;
2001-07;1317073;
2001-08;1319365;
2001-09;1333782;
2001-10;1334282;
2001-11;1353707;
2001-12;1367014;
2002-01;1277675;
2002-02;1273071;
2002-03;1271884;
2002-04;1268650;
2002-05;1277513;
2002-06;1290008;
2002-07;1283409;
2002-08;1282017;
2002-09;1289151;
2002-10;1299304;
2002-11;1328759;
2002-12;1349180;
2003-01;1339704;
2003-02;1347511;
