statistics_code,time,1_variable_code,1_variable_label,value
12411,31/12/1980,DINSG,Germany,61657945
12411,31/12/1950,DINSG,Germany,50958125
12411,31/12/2001,DINSG,Germany,82440309
12411,31/12/1967,DINSG,Germany,59948474
12411,31/12/2018,DINSG,Germany,83019213
12411,31/12/1995,DINSG,Germany,81817499
12411,31/12/1997,DINSG,Germany,82057379
12411,31/12/2016,DINSG,Germany,82521653
12411,31/12/2003,DINSG,Germany,82531671
12411,31/12/1982,DINSG,Germany,61546101
12411,31/12/1965,DINSG,Germany,59296591
12411,31/12/1954,DINSG,Germany,52943295
12411,31/12/1984,DINSG,Germany,61049256
12411,31/12/2005,DINSG,Germany,82437995
12411,31/12/2007,DINSG,Germany,82217837
12411,31/12/1969,DINSG,Germany,61194591
12411,31/12/1986,DINSG,Germany,61140461
12411,31/12/1952,DINSG,Germany,51863761
12411,31/12/2022,DINSG,Germany,83118501
12411,31/12/1971,DINSG,Germany,61502503
12411,31/12/1999,DINSG,Germany,82163475
12411,31/12/1959,DINSG,Germany,55257088
12411,31/12/1974,DINSG,Germany,61991475
12411,31/12/1972,DINSG,Germany,61809378
12411,31/12/2008,DINSG,Germany,82002356
12411,31/12/1957,DINSG,Germany,54064365
12411,31/12/1988,DINSG,Germany,61715103
12411,31/12/2011,DINSG,Germany,80327900
12411,31/12/2020,DINSG,Germany,83155031
12411,31/12/1978,DINSG,Germany,61321663
12411,31/12/1991,DINSG,Germany,80274564
12411,31/12/2013,DINSG,Germany,80767463
12411,31/12/1960,DINSG,Germany,55958321
12411,31/12/2015,DINSG,Germany,82175684
12411,31/12/1962,DINSG,Germany,57247246
12411,31/12/1976,DINSG,Germany,61441996
12411,31/12/1993,DINSG,Germany,81338093
12411,31/12/2017,DINSG,Germany,82792351
12411,31/12/1966,DINSG,Germany,59792934
12411,31/12/1964,DINSG,Germany,58587451
12411,31/12/2002,DINSG,Germany,82536680
12411,31/12/1951,DINSG,Germany,51434777
12411,31/12/1981,DINSG,Germany,61712689
12411,31/12/1996,DINSG,Germany,82012162
12411,31/12/1979,DINSG,Germany,61439342
12411,31/12/1985,DINSG,Germany,61020474
12411,31/12/2004,DINSG,Germany,82500849
12411,31/12/2021,DINSG,Germany,83237124
12411,31/12/1983,DINSG,Germany,61306669
12411,31/12/1955,DINSG,Germany,53517683
12411,31/12/1968,DINSG,Germany,60463033
12411,31/12/2019,DINSG,Germany,83166711
12411,31/12/1998,DINSG,Germany,82037011
12411,31/12/1953,DINSG,Germany,52453806
12411,31/12/2023,DINSG,Germany,83456045
12411,31/12/2006,DINSG,Germany,82314906
12411,31/12/1970,DINSG,Germany,61001164
12411,31/12/1973,DINSG,Germany,62101369
12411,31/12/1958,DINSG,Germany,54719159
12411,31/12/2024,DINSG,Germany,83577140
12411,31/12/1989,DINSG,Germany,62679035
12411,31/12/1987,DINSG,Germany,61238079
12411,31/12/2010,DINSG,Germany,81751602
12411,31/12/2009,DINSG,Germany,81802257
12411,31/12/1956,DINSG,Germany,53339626
12411,31/12/1990,DINSG,Germany,79753227
12411,31/12/1992,DINSG,Germany,80974632
12411,31/12/1977,DINSG,Germany,61352745
12411,31/12/2012,DINSG,Germany,80523746
12411,31/12/1961,DINSG,Germany,56589148
12411,31/12/1963,DINSG,Germany,57864509
12411,31/12/1994,DINSG,Germany,81538603
12411,31/12/1975,DINSG,Germany,61644624
12411,31/12/2014,DINSG,Germany,81197537
12411,31/12/2000,DINSG,Germany,82259540
