statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,227.121,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,288.371,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,931.738,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,1373.256,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,3528,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,214.397,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,1661.627,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,2915,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,1978,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,441.518,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,216.092,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,280.047,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,896.023,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,1318.513,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,3445,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,206.398,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,1598.56,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,2841,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,1931,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,422.49,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,208.448,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,270.536,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,861.325,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,1265.641,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,3345,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,195.868,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,1536.177,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,2756,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,1876,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
