statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,1520.7,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,51.836,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,1827,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,62.091,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,1658.1,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,3830.1721,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,2778.3055,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-F,Construction,2310,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2001,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,1288.6,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2001,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-M-02,Business services,71.299,EUR bn,VST020,Gross wages and salaries (domestic concept),e
