statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,3_variable_code,3_variable_label,3_variable_attribute_code,3_variable_attribute_label,4_variable_code,4_variable_label,4_variable_attribute_code,4_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,28752.058,unit app.,VGR069,Gross stock of fixed assets,p
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,14404.46,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,23092.597,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,17979.168,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2000,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,11162.8,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,16975.582,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,11737.691,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,10379.975,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,12286.743,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,11571.853,unit app.,VGR069,Gross stock of fixed assets,e
