Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,726000000,873000000,1068000000,1245000000,1369000000,1561000000,1716000000,1939000000,2230000000,2364000000,2470000000,2742000000,2981000000,3084000000,3353480000,3394658000,3511700000,3658960000,4036147000,4224431000,4420911000,4792978000,5089014000,4571290000,4391939000,4721768000,4681223000,4882850000,4995621000,5303603000,5340711000,5535446000,5864376000,5990455513,4423840335,5156816010,5950021653,6864166013,7635514705
Africa Eastern and Southern,AFE,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67044E+11,1.33475E+11,1.82163E+11,2.21359E+11,2.49792E+11,3.08163E+11,3.48048E+11,4.85419E+11,5.15047E+11,6.11692E+11,7.26231E+11,8.50347E+11,1.02879E+12,1.13881E+12,1.17647E+12,1.22276E+12,1.22292E+12,1.28546E+12,1.32769E+12,1.4696E+12,1.53497E+12,1.25117E+12,1.28344E+12,1.35091E+12,
Africa Western and Central,AFW,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,177.4288008,166.0593515,166.0593515,173.0559319,183.441471,226.0025289,211.5961353,241.8694506,262.3759765,305.2168833,335.9646477,700,3800,29400,678100,15015300,835493000,1751785000,2555800000,17171000000,91666100000,1.97111E+11,7.53574E+11,1.51765E+12,2.25545E+12,3.6081E+12,4.71388E+12,5.60245E+12,7.41258E+12,6.48152E+12,8.78131E+12,1.17937E+13,1.37066E+13,1.48408E+13,1.61657E+13,1.58073E+13,1.87818E+13,2.32008E+13,2.88734E+13,3.45385E+13,3.84661E+13,5.3278E+13,6.55861E+13,7.83224E+13,1.01911E+14
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,14991970000,15514160000,15968780000,16142520000,15935960000,16276690000,16778610000,16646370000,16409890000,18024720000,16228430000,15833650000,48934320000,1.20976E+11,1.77982E+11,2.69295E+11,3.38E+11,3.36481E+11,3.9307E+11,4.53512E+11,5.16207E+11,5.83125E+11,6.33933E+11,7.00712E+11,7.60445E+11,8.24595E+11,8.97698E+11,1.00528E+12,1.11232E+12,1.17161E+12,1.25624E+12,1.309E+12,1.32488E+12,1.35225E+12,1.4025E+12,1.4448E+12,1.4883E+12,1.57906E+12,1.66082E+12,1.71204E+12,1.65598E+12,1.86667E+12,2.14974E+12,2.36428E+12,2.51782E+12
Andorra,AND,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,33075100,37328600,43809600,52817200,64679900,75943900,91389700,115960200,141930500,166030700,192360700,215833200,248204100,282616900,318914300,354366200,405699900,453657900,505070300,565962200,630395100,691276900,744521400,770274000,819228800,883347000,931789600,1038925600,1088194100,1163747900,1551090000,1728690000,1865830000,2092490000,2331570000,2540880000,2755130000,2887770000,2789260000,2644840000,2602310000,2607220000,2481850000,2404540000,2462690000,2514510000,2616860000,2655760000,2725270000,2818420000,2531090000,2810970000,3210310000,3500580000,3732370000
Arab World,ARB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,3266600073,4462580035,6206540140,16909196156,46129476175,58313000000,75951000000,97082000000,92041000000,1.19147E+11,1.61638E+11,1.81103E+11,1.71152E+11,1.57131E+11,1.53477E+11,1.49056E+11,1.24607E+11,1.33569E+11,1.33168E+11,1.52218E+11,1.86125E+11,1.89248E+11,1.99112E+11,2.042E+11,2.17709E+11,2.41345E+11,2.7008E+11,2.89418E+11,2.77914E+11,3.10126E+11,3.83179E+11,3.79412E+11,4.033E+11,4.56662E+11,5.42885E+11,6.63318E+11,8.15723E+11,9.47197E+11,1.15858E+12,9.31153E+11,1.13016E+12,1.35472E+12,1.44253E+12,1.50438E+12,1.56058E+12,1.4028E+12,1.40186E+12,1.48136E+12,1.61796E+12,1.59359E+12,1.31168E+12,1.55142E+12,1.87813E+12,1.91933E+12,2.02841E+12
Argentina,ARG,GDP (current LCU),NY.GDP.MKTP.CN,0.131508917,0.16680719,0.213135928,0.253470898,0.359472096,0.481860012,0.601239979,0.800469995,0.925289989,1.093969941,1.200199962,1.664659977,2.778640032,4.728960037,6.519309998,19.40229988,102.3389969,283.9049988,708.611023,1932.140015,3840.399902,7474.299805,21852.5,109490,790920,5305000,9984100,23332300,111062000,3244039936,68921999360,1.80898E+11,2.26638E+11,2.36505E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,3.1258E+11,3.7591E+11,4.85115E+11,5.82538E+11,7.15904E+11,8.9698E+11,1.14965E+12,1.24793E+12,1.66172E+12,2.17902E+12,2.63791E+12,3.34831E+12,4.57909E+12,5.95451E+12,8.22816E+12,1.06602E+13,1.47448E+13,2.15584E+13,2.72098E+13,4.62191E+13,8.281E+13,1.92408E+14,5.8391E+14
