Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,1676310877,1945835371,2308707373,2588749896,2691300679,2905605500,3076523500,3301346400,3572185600,3663174300,3706611800,3967812100,4046850300,4096952000,4409259400,4593654700,4550246800,4600777500,4936345700,4917432700,4972872400,5126511500,5220621700,4610971000,4484932100,4636040100,4587788200,4882850000,4952484258,5131342234,5194680206,5376152715,5548860068,5616839833,4274528021,4904192326,5425823357,5843980624,6242001094
Africa Eastern and Southern,AFE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18237E+11,3.78789E+11,4.87122E+11,5.30146E+11,5.37643E+11,5.98019E+11,6.30057E+11,7.17171E+11,7.4532E+11,9.04748E+11,1.03469E+12,1.0391E+12,1.17161E+12,1.23723E+12,1.27094E+12,1.28939E+12,1.31853E+12,1.35343E+12,1.36953E+12,1.4231E+12,1.38964E+12,1.10144E+12,1.03271E+12,1.05612E+12,
Africa Western and Central,AFW,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,3.99573E+12,3.81991E+12,3.81991E+12,3.98035E+12,4.21917E+12,4.36684E+12,4.49348E+12,4.67694E+12,4.96358E+12,4.96565E+12,4.79433E+12,4.84186E+12,4.55918E+12,3.46573E+12,3.51215E+12,4.03897E+12,4.58603E+12,4.91963E+12,5.15041E+12,5.26277E+12,5.42353E+12,5.65164E+12,6.42398E+12,6.648E+12,7.40719E+12,8.45566E+12,9.45697E+12,1.06866E+13,1.18394E+13,1.20756E+13,1.27149E+13,1.31718E+13,1.42918E+13,1.49897E+13,1.56876E+13,1.58073E+13,1.55385E+13,1.55153E+13,1.54231E+13,1.53915E+13,1.47693E+13,1.50799E+13,1.57156E+13,1.59142E+13,1.66182E+13
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,6.40697E+11,6.77509E+11,6.97486E+11,7.05193E+11,6.96367E+11,7.08767E+11,7.48721E+11,7.42823E+11,7.32274E+11,8.04305E+11,7.27287E+11,5.23631E+11,4.85997E+11,5.32456E+11,5.76665E+11,6.5349E+11,7.01432E+11,6.19284E+11,6.70746E+11,7.52918E+11,8.09107E+11,8.80824E+11,9.21592E+11,9.70743E+11,1.02186E+12,1.07429E+12,1.13896E+12,1.21299E+12,1.29677E+12,1.33166E+12,1.37126E+12,1.40504E+12,1.41887E+12,1.44309E+12,1.47542E+12,1.50829E+12,1.56724E+12,1.6187E+12,1.67813E+12,1.71274E+12,1.65598E+12,1.80452E+12,1.89162E+12,1.96758E+12,2.04718E+12
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,763613110,799117037,864243026,931554311,983896388,989231130,1021913220,1050920999,1066295975,1066739098,1090300459,1088856089,1102428257,1121942541,1141965700,1168475669,1206489943,1273415414,1338287349,1402886938,1455935530,1493003700,1506876900,1491333700,1526874900,1568978500,1641931900,1790816900,1848029800,1923782000,1991660000,2153370000,2251270000,2447000000,2646080000,2788910000,2923020000,2968420000,2803400000,2654740000,2602310000,2602100000,2472660000,2384940000,2444670000,2479730000,2571720000,2580620000,2621620000,2674460000,2375350000,2572190000,2818210000,2891020000,2988500000
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,54279021280,74151861646,1.0313E+11,1.82149E+11,2.08557E+11,2.21544E+11,2.58159E+11,3.13506E+11,3.08523E+11,3.73076E+11,4.62148E+11,4.8368E+11,4.5118E+11,4.29768E+11,4.47031E+11,4.30963E+11,3.66499E+11,3.78894E+11,3.68971E+11,4.14494E+11,4.90463E+11,4.94681E+11,5.11228E+11,5.17675E+11,5.53375E+11,5.90384E+11,6.24617E+11,6.75775E+11,6.77749E+11,6.97418E+11,7.73107E+11,7.83924E+11,8.03E+11,8.73668E+11,9.57247E+11,1.00372E+12,1.10246E+12,1.13757E+12,1.17388E+12,1.11233E+12,1.13016E+12,1.2063E+12,1.26279E+12,1.3249E+12,1.38628E+12,1.48454E+12,1.56853E+12,1.55188E+12,1.57574E+12,1.59577E+12,1.45704E+12,1.52338E+12,1.63785E+12,1.7083E+12,1.77649E+12
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,1.82932E+11,1.92861E+11,1.91218E+11,1.81068E+11,1.99411E+11,2.20487E+11,2.19032E+11,2.26024E+11,2.36924E+11,2.59857E+11,2.67771E+11,2.82922E+11,2.87529E+11,2.95614E+11,3.11973E+11,3.11884E+11,3.0559E+11,3.2678E+11,3.12054E+11,3.43955E+11,3.49179E+11,3.31057E+11,3.28622E+11,3.42914E+11,3.483E+11,3.30227E+11,3.50547E+11,3.60029E+11,3.56105E+11,3.30618E+11,3.22461E+11,3.51912E+11,3.79844E+11,4.11018E+11,4.35006E+11,4.22629E+11,4.45987E+11,4.82161E+11,5.00725E+11,4.83773E+11,4.79956E+11,4.58796E+11,4.08812E+11,4.44939E+11,4.85115E+11,5.28056E+11,5.70549E+11,6.21943E+11,6.47176E+11,6.08873E+11,6.70524E+11,7.10782E+11,7.03486E+11,7.20407E+11,7.02306E+11,7.21487E+11,7.06478E+11,7.2639E+11,7.07377E+11,6.93224E+11,6.24591E+11,6.8981E+11,7.31342E+11,7.17769E+11,7.0813E+11
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60744E+12,2.30237E+12,1.33998E+12,1.22206E+12,1.28805E+12,1.37693E+12,1.45769E+12,1.5061E+12,1.61605E+12,1.66937E+12,1.76787E+12,1.93758E+12,2.19334E+12,2.50041E+12,2.76296E+12,3.14701E+12,3.56241E+12,4.05046E+12,4.32994E+12,3.71942E+12,3.80125E+12,3.97991E+12,4.26646E+12,4.40725E+12,4.56591E+12,4.71202E+12,4.72145E+12,5.07556E+12,5.33949E+12,5.74529E+12,5.33163E+12,5.64086E+12,6.35161E+12,6.87879E+12,7.28464E+12
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000000,732000000,735000000,732000000,702000000,715000000,696000000,667000000,669000000,669000000,640000000,624000000,635000000,655000000,644000000,599000000,615000000,612000000,639000000,634000000,645000000,,
Antigua and Barbuda,ATG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,1058740000,1105150000,1194440000,1291930000,1341210000,1340090000,1411970000,1555500000,1674400000,1866850000,1990550000,2094320000,2204320000,2270710000,2320140000,2347020000,2470940000,2635910000,2520990000,2687500000,2834540000,2968650000,3078720000,3269710000,3121000000,3153060000,3344660000,3537550000,3766560000,4245220000,4640670000,4640020000,4084940000,3764660000,3690920000,3815420000,3792490000,3875860000,3930960000,4092930000,4203960000,4486130000,4628440000,3755110000,4062010000,4431970000,4539550000,4705533546
