year,month,value_code,value_label,Imports: Value index,Exports: Value index,Terms of trade
2019,January,EGW1,Live animals,129.2,105.5,109.5
2019,January,EGW2,Food of animal origin,101.7,99.9,99.3
2019,January,EGW3,Food of vegetable origin,89.7,85.9,102.6
2019,January,EGW4,Tea, alcoholic beverages,e,e
2019,January,EGW1-4,Food,92.4,93.7,103.2
2019,January,EGW5,Raw materials,99.4,156.9,88.2
2019,January,EGW6,Semi-finished goods,78.8,77.9,95.9
2019,January,EGW7,Intermediate products,106,95.3,87.8
2019,January,EGW8,End products,95.8,96.9,100.5
2019,January,EGW7-8,Finished goods,97.3,96.7,98.6
2019,January,EGW5-8,Industrial products,95.8,96.1,99.3
2019,January,EGW9,Other unallocated products,85.5,89.9,115.9
2019,January,EGW1-9,Total,95,95.8,100.2
2019,February,EGW1,Live animals,144.9,117.2,94.5
2019,February,EGW2,Food of animal origin,91.3,93,100.4
2019,February,EGW3,Food of vegetable origin,90.6,83.9,102.7
2019,February,EGW4,Tea, alcoholic beverages,e,e
2019,February,EGW1-4,Food,89.4,89.6,103.2
2019,February,EGW5,Raw materials,102.3,172.7,85.7
2019,February,EGW6,Semi-finished goods,80,75.8,95.2
2019,February,EGW7,Intermediate products,98.8,88.5,92.2
2019,February,EGW8,End products,91.3,97.5,101.9
2019,February,EGW7-8,Finished goods,92.4,96.3,100.5
2019,February,EGW5-8,Industrial products,92.1,95.7,101.1
2019,February,EGW9,Other unallocated products,92.9,124.3,119.7
2019,February,EGW1-9,Total,91.9,95.8,102.1
2019,March,EGW1,Live animals,131.3,106.6,92.5
2019,March,EGW2,Food of animal origin,99.2,103.3,100.2
2019,March,EGW3,Food of vegetable origin,91.1,90.6,104.8
2019,March,EGW4,Tea, alcoholic beverages,e,e
2019,March,EGW1-4,Food,93.3,97.7,104.6
2019,March,EGW5,Raw materials,100.1,191.2,71.2
2019,March,EGW6,Semi-finished goods,81,87.3,99.5
2019,March,EGW7,Intermediate products,91.6,93.8,101.6
2019,March,EGW8,End products,100.2,106.7,99.5
2019,March,EGW7-8,Finished goods,99,105,99.8
2019,March,EGW5-8,Industrial products,97.4,104.7,100.6
2019,March,EGW9,Other unallocated products,88,89.9,114.9
2019,March,EGW1-9,Total,96.7,104,101.4
2019,April,EGW1,Live animals,162.9,119.9,78.8
2019,April,EGW2,Food of animal origin,102,102.3,101.8
2019,April,EGW3,Food of vegetable origin,94.1,86.3,101.5
2019,April,EGW4,Tea, alcoholic beverages,e,e
2019,April,EGW1-4,Food,96.8,94.8,102.7
2019,April,EGW5,Raw materials,91.2,153.1,76.4
2019,April,EGW6,Semi-finished goods,85.1,83.3,95.7
2019,April,EGW7,Intermediate products,99.6,88.7,89.4
2019,April,EGW8,End products,93.5,98.8,102.9
2019,April,EGW7-8,Finished goods,94.4,97.5,100.9
2019,April,EGW5-8,Industrial products,93.2,97.1,101.1
2019,April,EGW9,Other unallocated products,80.3,84.4,113
2019,April,EGW1-9,Total,93,96.8,101.6
2019,May,EGW1,Live animals,156,91.9,82
2019,May,EGW2,Food of animal origin,97.7,102.8,101.9
2019,May,EGW3,Food of vegetable origin,89.3,84.2,104
2019,May,EGW4,Tea, alcoholic beverages,e,e
2019,May,EGW1-4,Food,92.4,93.2,104.7
2019,May,EGW5,Raw materials,94.7,176.3,70.4
2019,May,EGW6,Semi-finished goods,84.1,81.3,101
2019,May,EGW7,Intermediate products,100,92.8,89.6
2019,May,EGW8,End products,94.5,102.3,102.6
2019,May,EGW7-8,Finished goods,95.3,101.1,100.8
2019,May,EGW5-8,Industrial products,94.2,100.5,101.1
2019,May,EGW9,Other unallocated products,100.7,129.7,99.1
2019,May,EGW1-9,Total,94.3,100.5,101.7
2019,June,EGW1,Live animals,174.5,131.5,80.5
2019,June,EGW2,Food of animal origin,98.7,101.4,102.9
2019,June,EGW3,Food of vegetable origin,86.8,80.8,102.2
2019,June,EGW4,Tea, alcoholic beverages,e,e
2019,June,EGW1-4,Food,90.4,91.3,103.5
2019,June,EGW5,Raw materials,88.6,140.5,69.4
2019,June,EGW6,Semi-finished goods,82.3,75,98.5
2019,June,EGW7,Intermediate products,89.3,84.4,94.2
2019,June,EGW8,End products,91,95.3,101.5
2019,June,EGW7-8,Finished goods,90.7,93.8,100.5
2019,June,EGW5-8,Industrial products,89.8,93.1,101.4
2019,June,EGW9,Other unallocated products,101.2,123,102.8
2019,June,EGW1-9,Total,90.3,93.4,102
2019,July,EGW1,Live animals,155.4,105.3,83.8
2019,July,EGW2,Food of animal origin,98.9,107.3,103.8
2019,July,EGW3,Food of vegetable origin,86.7,86.5,103.4
2019,July,EGW4,Tea, alcoholic beverages,e,e
2019,July,EGW1-4,Food,92.5,96.8,104.9
2019,July,EGW5,Raw materials,90.8,156,69.1
2019,July,EGW6,Semi-finished goods,82.6,84.5,101.8
2019,July,EGW7,Intermediate products,98.4,91,91.1
2019,July,EGW8,End products,95.9,103.7,103.2
2019,July,EGW7-8,Finished goods,96.2,102,101.6
2019,July,EGW5-8,Industrial products,94.5,101.4,102.8
2019,July,EGW9,Other unallocated products,97.7,104.1,102.6
2019,July,EGW1-9,Total,94.5,101.2,103.2
2019,August,EGW1,Live animals,165.4,106,80.2
2019,August,EGW2,Food of animal origin,95.5,104.8,103.9
2019,August,EGW3,Food of vegetable origin,82.7,86.4,102.7
2019,August,EGW4,Tea, alcoholic beverages,e,e
2019,August,EGW1-4,Food,86.7,94.9,104.2
2019,August,EGW5,Raw materials,87.7,155.5,68
2019,August,EGW6,Semi-finished goods,75.9,79.9,104.5
2019,August,EGW7,Intermediate products,79.3,78.9,95.2
2019,August,EGW8,End products,85.8,90,101.8
2019,August,EGW7-8,Finished goods,84.9,88.5,101.1
2019,August,EGW5-8,Industrial products,84.3,88.6,102.9
2019,August,EGW9,Other unallocated products,115.5,119.7,97.2
2019,August,EGW1-9,Total,85.9,89.4,103.7
2019,September,EGW1,Live animals,145.9,116.4,84.2
2019,September,EGW2,Food of animal origin,99.1,106.4,106
2019,September,EGW3,Food of vegetable origin,83.3,87.7,102.7
2019,September,EGW4,Tea, alcoholic beverages,e,e
2019,September,EGW1-4,Food,89.3,96.6,104.5
2019,September,EGW5,Raw materials,82.1,173.9,78.9
2019,September,EGW6,Semi-finished goods,76.6,89,102.3
2019,September,EGW7,Intermediate products,80,88.3,105.5
