,,1962,,1963,,1964,,1965,,1966,,1967,,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
EGW1,Live animals,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,96,e,113.9,e,98.2,e,94.9,e,99,e,99.4,e,101,e,93.3,e,104.9,e,106.9,e,104.5,e,104,e,121.3,e,121.3,e,115.2,e,105.5,e,114.9,e,128.6,e,110.4,e,138.7,e,130.8,e,100,e,131.3,e,181.5,e,175.4,e,158.4,e
EGW1-2,Nutritional goods of animal origin,43.9,e,46.7,e,48.5,e,52.7,e,51.6,e,48.1,e,46.1,e,49.3,e,49.6,e,50.1,e,53.6,e,63.2,e,61.4,e,61.3,e,65.9,e,68,e,65.8,e,66.4,e,70.2,e,74.8,e,74.9,e,73.5,e,75,e,74.5,e,70.3,e,68,e,68.7,e,72.5,e,71,e,72.9,e,72.8,e,68.6,e,67.6,e,67.6,e,70.6,e,73.3,e,70.7,e,66.6,e,71.8,e,78.6,e,74.9,e,71.6,e,72.3,e,73.7,e,76.3,e,79.3,e,84.2,e,80.4,e,82.7,e,88,e,92.4,e,94.8,e,94.6,e,91.6,e,91.5,e,99.2,e,97.6,e,100.2,e,98.8,e,100,e,125.8,e,130.8,e,130.3,e,138.9,e
EGW1-4,Food,47.6,e,49.7,e,50.4,e,52.8,e,52.7,e,50.9,e,49.1,e,50.7,e,50.4,e,49.6,e,50.9,e,61.3,e,66.8,e,62.8,e,68.1,e,74.1,e,67.1,e,67.8,e,70.1,e,75.5,e,76.4,e,79.3,e,84.9,e,82.9,e,75.2,e,68.4,e,70.1,e,70.6,e,68,e,69.7,e,67.5,e,65.3,e,68.2,e,66.5,e,68.2,e,73.3,e,71.3,e,67.3,e,69.4,e,71.4,e,71.4,e,70.2,e,69.8,e,71,e,72.8,e,77.4,e,82.7,e,78.5,e,82.2,e,88.4,e,91.8,e,92.6,e,92,e,92.6,e,92.5,e,94.5,e,93.2,e,94.3,e,95.5,e,100,e,119.5,e,124.5,e,129.1,e,136.7,e
EGW2,Food of animal origin,43.5,e,46.4,e,47,e,51.4,e,50.4,e,47.3,e,45.2,e,48.2,e,48.6,e,49.2,e,52.1,e,61.4,e,60.2,e,59.5,e,64.1,e,65.9,e,63.8,e,64.4,e,68.2,e,72.8,e,72.8,e,71.5,e,72.9,e,72.4,e,68.5,e,66.4,e,67.1,e,70.4,e,69.2,e,71.5,e,71.3,e,67.3,e,66.3,e,66.2,e,68.8,e,71.5,e,69.3,e,65.3,e,70.1,e,76.5,e,73.2,e,70,e,70.5,e,72,e,74.6,e,78,e,82.6,e,78.6,e,81.2,e,86.8,e,90.4,e,92.9,e,93.1,e,90.5,e,89.7,e,96.9,e,96.5,e,97.3,e,96.4,e,100,e,125.6,e,128.4,e,128.2,e,138,e
EGW3,Food of vegetable origin,50.8,e,52.8,e,51.9,e,54.3,e,55.4,e,54.6,e,52.3,e,53.8,e,52.4,e,51.5,e,52.1,e,64.9,e,74.8,e,67.9,e,70.2,e,74.1,e,68.4,e,69.7,e,72.3,e,78.4,e,77.5,e,82.7,e,89.3,e,84.6,e,73.2,e,69.1,e,70.6,e,70.1,e,67.7,e,69.5,e,66.8,e,64.9,e,67,e,64.9,e,66.9,e,69.5,e,69,e,66.1,e,67,e,68.1,e,70.2,e,70.2,e,68.8,e,69.2,e,70.9,e,76.9,e,82.8,e,77.2,e,81.1,e,86.2,e,90.5,e,92.1,e,90.6,e,92.9,e,92.5,e,92.1,e,90.8,e,91.7,e,93.9,e,100,e,117.1,e,122.5,e,128.3,e,133.3,e
EGW3-4,Nutritional goods of vegetable origin,49.1,e,50.9,e,51.2,e,52.9,e,53.3,e,52.1,e,50.3,e,51.4,e,50.9,e,49.6,e,50.3,e,61,e,69,e,63.7,e,69.2,e,76.6,e,67.9,e,68.6,e,70.4,e,76,e,77.2,e,81.7,e,88.8,e,86,e,77,e,68.5,e,70.6,e,69.8,e,66.7,e,68.3,e,65.4,e,64,e,68.3,e,65.9,e,67.1,e,73.2,e,71.5,e,67.5,e,68.5,e,68.7,e,70,e,69.7,e,68.8,e,70,e,71.6,e,76.7,e,82.1,e,77.8,e,82,e,88.5,e,91.5,e,91.6,e,91,e,92.9,e,92.8,e,92.7,e,91.5,e,92,e,94.2,e,100,e,117.3,e,122.3,e,128.7,e,135.9,e
EGW4,"Tea, Coffee, Tobacco, Alcoholic Beverages",41.5,e,43.1,e,47.3,e,46.7,e,44.8,e,42.8,e,42.5,e,42.4,e,45,e,42.4,e,43.5,e,46.4,e,47,e,47.4,e,65.5,e,87,e,66.2,e,65,e,63.8,e,67.8,e,75.8,e,77.7,e,86.5,e,90.5,e,90.5,e,65.8,e,69.9,e,68.1,e,62.6,e,63.9,e,59.8,e,60.4,e,73.7,e,70.5,e,68.7,e,88.8,e,81.8,e,73.7,e,75,e,71.3,e,69.5,e,68,e,69.2,e,73.5,e,74.4,e,75.8,e,78.9,e,80.6,e,86,e,98.8,e,96.1,e,89.9,e,93,e,92.9,e,93.8,e,94.9,e,94.4,e,92.9,e,95.5,e,100,e,118.3,e,121.1,e,130.6,e,148.3,e
EGW5,Raw materials,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,40.3,e,41.8,e,38.1,e,38.6,e,42.4,e,56.9,e,70.2,e,70.5,e,90.6,e,66.6,e,82.4,e,105.1,e,109.9,e,102.4,e,91.9,e,68.1,e,58.4,e,69.2,e,80.5,e,74,e,54.6,e,100,e,194,e,122.9,e,111.8,e,103.1,e
EGW5-6,Raw materials and semi-finished goods,12.5,e,12.6,e,12.9,e,13.1,e,13.5,e,13.2,e,13.4,e,13.6,e,13.4,e,13.5,e,13.1,e,15.9,e,26,e,24.6,e,26.5,e,26.2,e,24.2,e,31.4,e,41.6,e,52,e,52.7,e,50.8,e,55.3,e,55.7,e,34.1,e,30.4,e,30.2,e,34,e,33.1,e,32.2,e,28.9,e,27.6,e,27.7,e,28.3,e,29.4,e,32.2,e,27.4,e,29.3,e,44.1,e,43.7,e,40.4,e,40.7,e,45.7,e,57.5,e,70.3,e,72.8,e,86.6,e,64.8,e,81.8,e,100.3,e,103.6,e,96.6,e,89.1,e,71.9,e,62.5,e,73.2,e,83.2,e,78.8,e,63.2,e,100,e,169.2,e,118.4,e,111.5,e,108.1,e
EGW5-8,Industrial products,36,e,36.4,e,37,e,37.5,e,38.7,e,38,e,38.1,e,38.6,e,38.2,e,38.5,e,37.9,e,42.1,e,56.4,e,56,e,59.2,e,59.2,e,57.8,e,65.6,e,76.9,e,88.2,e,90.3,e,89.5,e,94.7,e,96.6,e,80.5,e,76.6,e,77.4,e,81.3,e,79.6,e,80.1,e,78.3,e,77.2,e,77.5,e,77.9,e,78,e,80.3,e,77.8,e,78,e,86.7,e,87,e,85,e,82.9,e,84,e,86.9,e,90.8,e,91,e,94.9,e,86.5,e,92.8,e,98.6,e,100.6,e,97.7,e,95.4,e,92.3,e,89,e,92.2,e,95,e,93.9,e,89.2,e,100,e,122,e,112.9,e,110.9,e,109.8,e
