observation_date,RKNANPNPA666NRUG
1960-01-01,7710.5136718750
1961-01-01,7925.4697265625
1962-01-01,8169.8291015625
1963-01-01,8523.5605468750
1964-01-01,9269.7324218750
1965-01-01,9853.0625000000
1966-01-01,10293.9892578125
1967-01-01,10783.3017578125
1968-01-01,11295.6787109375
1969-01-01,11689.5634765625
1970-01-01,12351.9130859375
1971-01-01,13280.8623046875
1972-01-01,14143.3183593750
1973-01-01,15280.7763671875
1974-01-01,16401.7128906250
1975-01-01,18371.2343750000
1976-01-01,20459.0800781250
1977-01-01,22709.4902343750
1978-01-01,25379.5156250000
1979-01-01,27597.1093750000
1980-01-01,29876.3906250000
1981-01-01,32329.1503906250
1982-01-01,35280.1093750000
1983-01-01,38423.3945312500
1984-01-01,41362.4140625000
1985-01-01,45124.7109375000
1986-01-01,48234.0351562500
1987-01-01,51685.0156250000
1988-01-01,55514.1445312500
1989-01-01,58944.2656250000
1990-01-01,61900.4492187500
1991-01-01,65940.0625000000
1992-01-01,70426.5546875000
1993-01-01,75841.3671875000
1994-01-01,81727.0156250000
1995-01-01,88209.9765625000
1996-01-01,95273.3281250000
1997-01-01,102317.4140625000
1998-01-01,109515.6328125000
1999-01-01,115624.5078125000
2000-01-01,122290.9687500000
2001-01-01,130136.4140625000
2002-01-01,138124.1406250000
2003-01-01,146590.7968750000
2004-01-01,155393.3593750000
2005-01-01,164127.3125000000
2006-01-01,174366.7812500000
2007-01-01,185406.6250000000
2008-01-01,196812.6093750000
2009-01-01,208174.5781250000
2010-01-01,222243.0937500000
2011-01-01,235875.6250000000
2012-01-01,249373.5937500000
2013-01-01,264267.5937500000
2014-01-01,281625.7500000000
2015-01-01,302435.0937500000
2016-01-01,324394.9062500000
2017-01-01,353169.0000000000
2018-01-01,385666.6875000000
2019-01-01,421986.2812500000
2020-01-01,451975.0625000000
2021-01-01,485373.5625000000
2022-01-01,519250.2187500000
2023-01-01,546331.0000000000
