"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","1676310877","1945835371","2308707373","2588749896","2691300679","2905605500","3076523500","3301346400","3572185600","3663174300","3706611800","3967812100","4046850300","4096952000","4409259400","4593654700","4550246800","4600777500","4936345700","4917432700","4972872400","5126511500","5220621700","4610971000","4484932100","4636040100","4587788200","4882850000","4952484257.56912","5131342233.737","5194680206.07025","5376152715.15212","5548860068.45051","5616839832.97258","4274528020.62711","4904192325.82085","5425823356.72405","5843980624.1775","6242001094.48676","",
"Africa Eastern and Southern","AFE","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418236762600","378788779600","487122375000","530146376400","537643271700","598019077900","630057371400","717171116900","745319967200","904747846400","1034691726300","1039103183900","1171612605100","1237231635500","1270940547900","1289385894400","1318530066900","1353431600000","1369526989300","1423097453800","1389639000000","1101444000000","1032712000000","1056123000000","","",
"Africa Western and Central","AFW","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","3995726703131.87","3819914679500.13","3819914679500.13","3980351150608.05","4219172305822.74","4366843315012.39","4493481847238.62","4676939416025.55","4963583910539.84","4965649826722.93","4794330007349.34","4841859043847.92","4559177720165.56","3465731095612.96","3512149830714.32","4038972306335.19","4586025649811.42","4919625875131.97","5150412729772.53","5262768453927.92","5423526254517.11","5651639690476.96","6423975180462.56","6647999263566.4","7407191697664.37","8455663204014.97","9456967440817.37","10686627500852.2","11839355115351.8","12075619995294.2","12714862952452.7","13171818547088","14291834458233.1","14989713495277.8","15687593118527","15807317332586.6","15538509101784.1","15515295155675.9","15423070499371","15391502520771.6","14769309150941.6","15079871171186.5","15715638929540.9","15914175875422.4","16618204159324","",
"Albania","ALB","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","640696987233.377","677509099448.441","697486111082.545","705192901995.687","696366731300.173","708766543435.289","748721437056.735","742822690209.018","732274313436.78","804304834886.43","727287498028.323","523631422600","485997451500","532455948600","576665055700","653490296600","701432494400","619283713800","670746346500","752917658300","809106839400","880823890400","921591907000","970742838800","1021864697500","1074294755500","1138956355300","1212989573200","1296771518800","1331664418200","1371256857800","1405038001400","1418865400200","1443088672100","1475417133500","1508285061100","1567242951500","1618698294900","1678127496200","1712740183100","1655984146200","1804518905900","1891619435700","1967575847300","2047182558300","",
"Andorra","AND","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","763613110","799117037","864243026","931554311","983896388","989231130","1021913220","1050920999","1066295975","1066739098","1090300459","1088856089","1102428257","1121942541","1141965700","1168475669","1206489943","1273415414","1338287349","1402886938","1455935530","1493003700","1506876900","1491333700","1526874900","1568978500","1641931900","1790816900","1848029800","1923782000","1991660000","2153370000","2251270000","2447000000","2646080000","2788910000","2923020000","2968420000","2803400000","2654740000","2602310000","2602100000","2472660000","2384940000","2444670000","2479730000","2571720000","2580620000","2621620000","2674460000","2375350000","2572190000","2818210000","2891020000","2988500000","",
"Arab World","ARB","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","54279021279.7833","74151861645.8156","103130140442.25","182148613938.731","208556595156.23","221544251459.064","258158551995.239","313506016320.395","308522514277.009","373076448010.291","462147610217.407","483679883872.028","451179903148.132","429767713910.952","447031273593.829","430962839439.127","366498829373.051","378893752746.551","368970875066.688","414494100495.114","490462519271.611","494680898860.188","511227702152.565","517675259643.852","553374914573.286","590384000556.555","624616850468.73","675775460552.002","677748686662.075","697418401488.814","773107157746.012","783923584310.529","803000026165.155","873668371200.663","957247302354.943","1003723010474.71","1102462452612.55","1137569158617.27","1173878503656.09","1112332970463.32","1130162000000","1206295000000","1262789000000","1324899000000","1386280000000","1484535000000","1568529000000","1551881000000","1575736000000","1595769000000","1457042000000","1523378000000","1637852000000","1708299000000","1776491000000","",
"Argentina","ARG","GDP (constant LCU)","NY.GDP.MKTP.KN","182932009390","192861271430","191218051890","181067821330","199410530600","220487093700","219032482640","226023992090","236924000870","259857121160","267771442210","282922301410","287529454900","295614075960","311972780690","311884142660","305589536220","326779566190","312054471110","343955061570","349178995840","331057342230","328621888570","342913961040","348300243340","330226858890","350546962680","360028798200","356104724290","330618488450","322461423550","351912181900","379844477800","411018234600","435006083700","422629248800","445986656500","482160842800","500724897600","483773071300","479956106900","458795611600","408812193300","444939093600","485115195200","528055942500","570549404200","621942502600","647176159700","608872876400","670523679400","710781597200","703485989500","720407105300","702306046000","721487146600","706477848600","726389947800","707377443000","693223803600","624591286200","689809934000","731341633700","717769483200","708130336300","",
"Armenia","ARM","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2607437730600","2302367555700","1339977854200","1222059819200","1288051083400","1376926587800","1457688850200","1506099858700","1616045148200","1669374638100","1767867741800","1937583045000","2193344006900","2500412167900","2762955445500","3147006252400","3562411077700","4050461395400","4329943231700","3719421236000","3801248503200","3979907182800","4266460500000","4407253696500","4565914829600","4712024104100","4721448152300","5075556763800","5339485715500","5745286629800","5331625992500","5640860300100","6351608697900","6878792219800","7284640960800","",
"American Samoa","ASM","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","725000000","732000000","735000000","732000000","702000000","715000000","696000000","667000000","669000000","669000000","640000000","624000000","635000000","655000000","644000000","599000000","615000000","612000000","639000000","634000000","645000000","","","",
"Antigua and Barbuda","ATG","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","1058740000","1105150000","1194440000","1291930000","1341210000","1340090000","1411970000","1555500000","1674400000","1866850000","1990550000","2094320000","2204320000","2270710000","2320140000","2347020000","2470940000","2635910000","2520990000","2687500000","2834540000","2968650000","3078720000","3269710000","3121000000","3153060000","3344660000","3537550000","3766560000","4245220000","4640670000","4640020000","4084940000","3764660000","3690920000","3815420000","3792490000","3875860000","3930960000","4092930000","4203960000","4486130000","4628440000","3755110000","4062010000","4431970000","4539550000","4705533546","",
"Australia","AUS","GDP (constant LCU)","NY.GDP.MKTP.KN","328717000000","336872000000","341241000000","362447000000","387737000000","410914000000","420698000000","447231000000","470018000000","503143000000","539242000000","560817000000","582728000000","597987000000","622544000000","630878000000","647204000000","670454000000","676457000000","703864000000","725223000000","749463000000","774410000000","757173000000","791734000000","833551000000","866641000000","888799000000","940006000000","976469000000","1011358000000","1007468000000","1011831000000","1052768000000","1094656000000","1137240000000","1181202000000","1227481000000","1284888000000","1349495000000","1402342000000","1430830000000","1487345000000","1533323000000","1598013000000","1648438000000","1694115000000","1758313000000","1822034000000","1857652000000","1898707000000","1944176000000","2021019000000","2074666000000","2128632000000","2174703000000","2234630000000","2285877000000","2351577000000","2403171000000","2399962000000","2448128000000","2552248000000","2643716000000","2680025000000","",
"Austria","AUT","GDP (constant LCU)","NY.GDP.MKTP.KN","82328533464.2073","86887870619.3171","89189248024.5854","92880137761.8332","98568445950.3645","101998800283.387","107754451224.193","110995756621.225","115959834032.585","123237319182.465","132015360000","138767904000","147382422000","154590065000","160684219000","160099753000","167429832000","175935236000","175564622000","184969092000","188171805000","187900283000","191679436000","197378234000","197479440000","202413817000","207072154000","209882471000","216799945000","225227121000","235014685000","243103015000","248192436000","249499938000","255493222000","262309740000","268121913000","273875367000","283441505000","294104360000","303484886000","307481744000","312045907000","315608114000","323704268000","331215389000","342043933000","354956860000","360115468000","347200774000","353481575000","363829635000","366115381000","365197433000","367957591000","372754004000","380646025000","389295254000","398966209000","405967971000","380317879000","399041277000","420314023000","417009328000","414260863000","",
"Azerbaijan","AZE","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11475838691","11395507800","8820123000","6782674700","5446487700","4803802200","4866251600","5148494200","5663343600","6082431100","6757580900","7426581400","8127570200","8957256900","9786143700","12522500000","16838531100","21126162600","23363726900","25552791900","26776472300","26355279100","26935869800","28509844700","29307431900","29615027000","28707741500","28751840800","29183233900","29906922300","28651142400","30260316700","31686993900","32116187100","33423766200","",
"Burundi","BDI","GDP (constant LCU)","NY.GDP.MKTP.KN","443030508800","382130936730","416764067040","433998959200","461223878400","479521670220","501641970800","570976509110","569275663310","560966850790","680596794310","699291622470","654509232250","699598705220","694513745050","699360897020","754908762070","841492668060","833577790080","847456484760","855855250770","959955283400","949841196260","985130902600","986663214660","1102923519000","1138770523700","1201438160200","1261882806800","1278911943500","1323671586800","1389813291100","1403850382700","1316250118800","1265837739300","1165583390300","1072336719100","1055286565300","1105412677100","1094248009100","1084871791200","1107174662600","1156405398900","1142254142700","1197466798800","1208244000000","1273656000000","1317527000000","1382201000000","1434546000000","1507618000000","1568291000000","1637657000000","1718294000000","1791234000000","1783988000000","1841078732734.84","1911626247511.14","2013750000000","2103550000000","2109996198754.35","2178298353947.96","2228784801521.3","2301326597744.26","2395963447616.17","",
"Belgium","BEL","GDP (constant LCU)","NY.GDP.MKTP.KN","105720890684.803","110984123889.267","116768620321.092","121849905248.908","130326619005.071","134967106588.632","139226526732.455","144612013375.532","150677228669.748","160666827267.651","170873464000","177684185000","187093637000","199033395000","208119784000","204028270000","215561470000","216911218000","223075611000","228297974000","238443659000","237777725000","239192471000","239938376000","245856174000","249917209000","254472605000","260342422000","272638938000","282097238000","290947763000","296281052000","300816092000","297922623000","307536501000","314870500000","319031300000","331134300000","337630600000","349591900000","362585200000","366572200000","372829200000","376699000000","390151700000","399210000000","409399200000","424452500000","426349400000","418221300000","429556400000","437851800000","438796700000","440137200000","447908000000","454510900000","459935500000","466717100000","475481900000","487097400000","463750900000","492756000000","512250600000","521031200000","526608600000","",
"Benin","BEN","GDP (constant LCU)","NY.GDP.MKTP.KN","976161831950","1006825812800","972327834270","1018319212800","1086045170800","1143538912400","1184430294200","1197203174700","1243203738900","1278976901300","1305806736200","1286260874800","1368920726200","1419655191400","1467061909800","1395244161400","1407583091500","1477732299500","1496278992900","1594072008500","1702178208000","1871616961700","1913448842500","1830255478700","1975391801800","2124145221300","2170263421800","2137709406400","2210503655400","2147412333300","2340166949600","2439057711000","2511197985000","2657755820800","2711453131300","2875365859400","2999704846100","3171728571200","3297361124900","3473488000000","3676955000000","3873052000000","4052879000000","4192443000000","4378155000000","4453160000000","4628781000000","4905876000000","5146096000000","5265449000000","5376764000000","5536118000000","5802473000000","6219754000000","6615186000000","6732814000000","6957668000000","7352276451000","7844677051900","8383267995300","8705922576800","9328870657100","9912200000000","10541900000000","11327600000000","",
"Burkina Faso","BFA","GDP (constant LCU)","NY.GDP.MKTP.KN","689815632100","717711279440","761698359580","752039899670","769207611070","798164780660","802455818950","873259023390","900074833890","918311079450","919385683500","932379728030","953931673710","958217950140","1037619976100","1068731796000","1159946932200","1164242837000","1217889109500","1262520135800","1272580892100","1326733070000","1453597894800","1458627121700","1432682569400","1554709373000","1678392143000","1674425484900","1771468370500","1809559675100","1798649324500","1961786538700","1966351827100","2034414833100","2061167536100","2178991578400","2419001919700","2571806273200","2759746665200","2963836493800","3019807772100","3219519912800","3359664450100","3621802063500","3784002735400","4111768255300","4368883895900","4548505271700","4812318201800","4954856702100","5373357850900","5729211839000","6098899108900","6452183014400","6731359012200","6995311000000","7412090000000","7871898218300","8391803173100","8886013662700","9064691192800","9694009638300","9851705251600","10147283418400","10634333693600","",
