Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,43.30938909,44.86504938,46.25965215,48.09271077,50.86759761,53.72374192,55.77724337,58.73361244,62.42676752,64.53419375,66.63767703,69.10609502,73.66222566,75.27547308,76.05540286,73.89885008,77.17603362,79.52916654,81.76386431,85.90724587,88.90055172,93.49394808,97.47907993,99.13942204,97.92654386,101.8491622,102.0365979,100,100.8710122,103.3570313,102.8111604,102.9629606,105.6861396,106.6517061,103.4930714,105.1511782,109.6611751,117.4570289,122.3247896
Africa Eastern and Southern,AFE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.93996101,35.23721591,37.39567933,41.75423484,46.46053505,51.53066803,55.24074797,67.685249,69.10412726,67.60912551,70.18816371,81.83472908,87.8101017,92.04499454,92.56683861,94.8324703,92.74850167,94.97785677,96.94517925,103.2674396,110.4578959,113.5937914,124.2786953,127.9121845,
Africa Western and Central,AFW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.44E-09,4.35E-09,4.35E-09,4.35E-09,4.35E-09,5.18E-09,4.71E-09,5.17E-09,5.29E-09,6.15E-09,7.01E-09,1.45E-08,8.33E-08,8.48E-07,1.93E-05,0.00037176,0.018218237,0.035608094,0.049623208,0.326273142,1.690156841,3.487674565,11.73064494,22.82868684,30.44943298,42.67075476,49.84559372,52.424861,62.60963928,53.67444323,69.06333546,89.53707778,95.90519618,99.00629841,103.0474701,100,120.8727032,149.535013,187.2090976,224.3998464,260.4464967,353.3052892,417.3304669,492.1546206,613.2472193
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,2.339947011,2.28988216,2.289476413,2.289092808,2.288443615,2.29648114,2.240968292,2.240961433,2.240948467,2.241030915,2.231363806,3.023815859,10.06884292,22.72042604,30.86398911,41.20869753,48.18714716,54.33386978,58.60187924,60.23398676,63.79958186,66.20223922,68.78669613,72.18303413,74.41736362,76.75682604,78.81756899,82.87633311,85.77587693,87.98060868,91.61195894,93.16459091,93.37583211,93.70504147,95.05759929,95.79104119,94.96315253,97.55096414,98.96865984,99.95897277,100.0000209,103.4442784,113.6455496,120.1618798,122.9895062
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,4.331394991,4.671230655,5.06912971,5.66979288,6.573852774,7.677063297,8.943000072,11.03415006,13.31061012,15.56432124,17.64290737,19.82201341,22.51430861,25.18996202,27.92678449,30.32722113,33.62646347,35.62528732,37.7400489,40.34268084,43.29828396,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.5565075,109.28314,113.9130867,121.0845999,124.8910825
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,6.01816318,6.01816318,6.01816318,9.283186839,22.11844518,26.32115237,29.42029207,30.96655086,29.83283091,31.93634995,34.97540535,37.44273972,37.93431374,36.56184374,34.33249731,34.58674075,33.99929004,35.25236271,36.09173759,36.72380374,37.9488733,38.25658125,38.94781115,39.44557832,39.34204357,40.87932596,43.23930739,42.82753916,41.00546493,44.46771111,49.56350438,48.39910517,50.22415777,52.26948978,56.71313971,66.08572726,73.99100061,83.26500352,98.69680062,83.71168524,100,112.3038726,114.2339694,113.5464666,112.5730011,94.49396612,89.37392933,95.45564383,102.6794463,99.86370208,90.02328004,101.840515,114.670251,112.3532824,114.1808768
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.10E-06,2.26E-06,6.65E-06,3.19E-05,0.00022708,0.001606471,0.002848149,0.006480676,0.031188016,0.981203426,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3109.882269,4356.419109,6700.263541,11323.03176,26806.41244,82457.92978
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00192948,0.00346122,0.02314889,0.345188503,14.52310475,37.92910932,45.3600933,53.40515695,59.11870647,59.15051475,58.33797832,60.68781429,62.11846823,64.97499576,69.05451201,71.27030327,74.56157479,77.75122616,82.40818434,84.46612526,91.0280582,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249846,109.6331606,112.6894147,113.8902586,115.9477917,123.9487849,133.8471843,137.9968168,139.9302362
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.62068966,71.58469945,69.25170068,68.30601093,70.22792023,72.44755245,80.45977011,101.1994003,85.65022422,85.20179372,100,102.2435897,101.2598425,102.7480916,104.1925466,102.1702838,103.902439,105.7189542,112.8325509,118.29653,135.0387597,,
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,19.7659482,21.50929738,24.77395265,27.68106631,30.07359027,33.53506108,35.35060943,36.83574413,39.72766364,43.03613038,47.04930798,53.03726269,55.75279451,56.92228422,58.69085486,60.41107447,61.81008037,64.02798275,65.97963498,68.22995349,69.95632448,71.83164064,73.27623168,74.40139951,75.93687921,76.9046577,76.53603057,78.33359246,81.99842827,82.91490194,86.53771977,90.6381869,91.64394091,93.11704111,94.17353939,96.5757374,94.366498,96.04345874,98.73440584,98.26530139,98.57634231,100,100.712335,101.4995566,106.4925985,113.7130892,119.2986089,126.6717515
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.06180088,5.224833171,5.220943556,5.314432179,5.488772028,5.652520965,5.804401257,6.086563767,6.223804195,6.519418933,6.854065522,7.209481881,7.655887481,8.343325189,9.709353877,11.3105862,12.89655194,14.36906932,15.55279936,16.89573554,18.58807567,20.35871017,22.74182926,25.05213472,27.02182804,28.28705142,30.13912335,32.25869966,34.5736091,37.76433251,40.06899634,41.28111265,41.8918772,42.25508374,42.68793119,43.66703598,44.85151566,45.42090672,45.93808955,46.15926699,47.33816715,49.5351649,50.94211498,52.46409269,54.15919645,56.23080759,59.10513749,62.05129576,64.88561684,68.12443881,68.91821645,73.19039017,74.50583097,74.4080252,75.46240966,74.98895251,74.48396379,77.19982309,78.62506735,81.35854669,82.87656221,85.41314016,91.56249706,97.47692263,100
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,15.20271145,15.97609675,16.50973085,17.11700268,17.6619718,18.60183869,19.18265619,19.80566332,20.36775438,20.92452178,21.91678302,23.27658203,25.04558651,27.06064002,29.6319796,31.54554648,33.31995758,35.05216658,37.15284848,38.68145441,40.84012267,43.58321855,45.91722609,47.51183203,49.86355997,51.34101493,52.85608706,54.14416243,54.97086542,56.60062005,58.29845782,60.42161262,62.52373702,64.24756907,65.86978382,67.06460767,67.70872025,68.56357257,68.89409157,69.04519199,69.9892564,71.34514692,72.13295094,73.04687737,74.30909963,76.19058214,77.74839,79.50493674,81.04239582,82.45204142,83.18696837,84.70091915,86.47257844,87.95015517,89.71508975,91.77192903,93.43736087,94.34867218,96.05683598,97.47241119,100,101.801873,106.9158204,114.5867236,119.269668
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002554933,0.004689567,0.054648898,0.462944213,6.879663017,44.41898128,56.15410432,61.34414991,60.75209705,62.06564346,69.81936391,71.57532805,74.59178882,79.78447062,87.16610201,100,111.3291883,134.2434996,171.7927973,139.3252845,158.5907192,197.6150577,203.2371719,204.0768745,201.3622354,183.6229965,210.4839909,244.6375538,274.4452526,273.8369371,253.3166007,308.0047077,422.8002834,383.3842405,377.9855305
Burundi,BDI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.212037163,2.656157517,2.561401317,2.68145802,2.826718436,2.79762122,2.885803191,2.732336576,2.815859,2.966841976,3.120658248,3.163730165,3.299479814,3.481295751,3.914897321,4.740428031,5.123215141,5.85604627,6.588503275,8.310125802,9.671658838,9.085235688,9.600552214,10.2177284,11.97683244,12.58391879,12.04816924,11.63638751,12.04263971,13.81979431,14.6469866,15.24650839,16.07008829,17.31433828,18.46374118,21.4369042,24.53520385,32.48406748,36.20367382,41.61762198,57.82556042,65.75714952,66.43304002,74.36896399,84.14562649,100,102.8456663,111.3624996,138.2678062,152.2556265,165.8939466,179.7832163,205.0057491,221.8769896,233.6415008,247.6402308,263.335995,298.286237,293.6978274,294.5598155,341.2458825,375.7352376,432.2810843,514.3771813,613.6467963
Belgium,BEL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,13.84672433,14.02887365,14.26283205,14.69439635,15.37657291,16.16088775,16.82122404,17.35839821,17.81323846,18.53001223,19.37242286,20.41043945,21.69993414,23.17704574,25.9973074,29.34828835,31.57149838,33.93243405,35.43335044,37.02970838,38.55777519,40.53933521,43.60833164,46.0560019,48.56085778,50.80812902,52.22912109,53.10871733,54.26064013,56.86377121,58.46301008,60.14477126,62.20444384,64.68841139,66.04318393,66.84941905,67.16804903,67.67692142,68.89890904,69.31156014,70.70790534,72.1099145,73.29251571,74.64851247,76.07802298,77.662784,79.42162564,80.955796,82.50113639,83.14614775,84.56221348,86.5008206,88.4088007,89.65756587,90.41104423,91.42531015,93.15808412,95.00556118,96.63707493,98.42895897,100,102.6973188,109.5770508,115.612328,117.7861129
Benin,BEN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.681644773,5.740815448,5.957850486,6.109718546,6.087499211,6.21275684,6.28337511,6.29223922,6.498217241,6.72267837,7.061975103,7.173080011,7.554488892,7.918822245,9.10036674,10.39689014,11.85613838,12.46991725,14.00801407,15.82971229,17.44241487,18.74517981,21.77220468,22.80555918,23.25108424,22.11713311,21.31999346,21.96566091,21.83155903,22.31729691,22.80305451,22.97558701,23.67062941,24.23359316,32.72264818,37.6635887,40.26512338,41.74185047,43.9256191,65.16038057,67.98902897,69.328607,71.79269354,73.9907734,74.56028852,77.76165689,79.39023255,79.69997611,84.82799388,86.98236371,87.74857888,91.0243062,98.03218386,99.40198599,99.15568512,100,100.6835911,100.3131785,100.9857258,100.5842532,103.4791005,105.1541426,109.5064668,113.2139368,114.9925845
Burkina Faso,BFA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,11.74559633,11.96883411,12.20945214,12.83793672,13.07058793,12.98483546,13.28389141,12.69793784,12.66443069,13.53994231,13.78141733,14.2468813,15.28642569,15.69577461,17.42461857,18.84928256,20.11699212,23.87122043,27.34026389,29.46009822,32.02146773,36.37146224,39.66181255,41.8072457,44.5251704,44.86225564,42.01544186,42.53530866,43.98514873,46.11034416,46.9449485,45.08227587,45.18463951,44.5331494,51.05234017,54.50836358,54.69843705,55.54965405,59.96047214,70.38809262,69.81106991,72.57667239,74.79533117,75.905839,75.97464657,78.81563141,78.29322027,80.2445607,87.59480232,89.70189956,93.09228936,99.36485229,105.1518608,102.9129977,102.2745389,100,102.6042992,104.0574811,105.175024,105.7144672,112.5495374,112.6765643,117.9076688,120.2263011,131.8519018
